# 从 Anki 牌组转换：大学英语四级单词(词典重制完美版).apkg
# 格式：单词|释义|例句|例句翻译
additional|[əˈdɪʃənl] adj. 附加的；额外的|He had to pay some additional charges.|他不得不付些附加费。
address|[əˈdres] n. 住址；网址 v. 称呼；发表演说|Please write your home address on the registration form.|请在这张登记表上写下你的家庭住址。
adequate|[ˈædɪkwət] adj. 足够的；适当的|We had adequate food for a week's journey.|我们有足够的食物可以做一星期的旅行。
adjective|[ˈædʒɪktɪv] n. 形容词 adj. 形容词的；不独立的|There are more than 5,000 adjectives in that dictionary.|那本词典中有5000多个形容词。
adjust|[əˈdʒʌst] v. 调整；校准|Could you teach me how to adjust the iris of the camera?|你能教我怎么调照相机的光圈吗？
administration|[ədˌmɪnɪˈstreɪʃn] n. 实施；管理|He is responsible for the administration of justice.|他负责赏罚。
admire|[ədˈmaɪə(r)] vt. 钦佩；赞美|You may not like him, but you have got to admire his persistence.|你可以不喜欢他，但你不得不佩服他那种坚韧不拔的精神。
admission|[ədˈmɪʃn] n. 承认；入会费|He is a coward by his own admission.|他自己承认是个胆小鬼。
admit|[ədˈmɪt] vt. 承认；允许进入 vi. 承认；允许进入|We have to admit that there is still room for improvement.|我们不得不承认,在这方面有尚待改进的地方。
adopt|[əˈdɒpt] v. 采用；收养|They adopt new techniques in raising sheep.|他们采用新的养羊技术。
adult|[ˈædʌlt] n. 成年人；成年动物 adj. 成年的；理智的|The bear was a fully grown adult.|那只熊已完全发育成熟.
advance|[ədˈvɑːns] n. 前进；进展 v. 前进；预付 adj. 预先的；提前的|Advance in the jungle was very slow.|在丛林中行进很慢。
advanced|[ədˈvɑːnst] adj. 先进的；高级的|England is an advanced industrial country.|英国是一个发达的工业国家。
advantage|[ədˈvɑːntɪdʒ] n. 优势；有利条件 vt. 有利于|For a goalkeeper,it's a great advantage to have big hands.|对于守门员来说,有一双大手是很大的优势。
advertisement|[ədˈvɜːtɪsmənt] n. 广告|A lot of people replied to our advertisement.|有许多人对我们的广告作出了反应。
advisable|[ədˈvaɪzəbl] adj. 明智的；可取的|It is advisable to be forearmed.|预作准备是明智的。
aeroplane|[ˈeərəpleɪn] n. 飞机|We took a flight in an aeroplane.|我们乘飞机飞行。
affair|[əˈfeə(r)] n. 私通；事件|Their love affair is an open secret.|他们的风流韵事是公开的秘密。
affect|[əˈfekt] vt. 影响；感动|How does interest rate affect the price of bonds?|利率如何影响债券的价格?
affection|[əˈfekʃn] n. 影响；感情|He's so susceptible that she easily gained his affection.|他易受感情影响，所以她很轻易就得到了他的爱。
afford|[əˈfɔːd] v. 花费得起；能够做|Only the well-to-do can afford these houses.|只有富人能买得起这些房子。
afraid|[əˈfreɪd] adj. 抱歉的；担心的|I'm afraid we can't come.|很抱歉，我们不能来。
Africa|[ˈæfrɪkə] n. 非洲|Africa is full of adventurers.|在非洲有很多险冒家。
afternoon|[ˌɑːftəˈnuːn] n. 下午|Good afternoon!|下午好！
afterward|[ˈɑːftəwəd] adv. 后来；以后|The couple lived happily ever afterward.|这对夫妇后来快乐地生活着。
again|[əˈɡen] adv. 再；又|Say that again, please.|请再说一遍。
against|[əˈɡenst] prep. 反对；逆|There are 26 votes for him and 8 against him.|有26票赞成他，8票反对他。
agency|[ˈeɪdʒənsi] n. 代理；代理处|I hope we can see eye to eye about the other terms of the agency then.|我希望到那时候我们能在代理协议的其他条款上能取得一致意见。
agent|[ˈeɪdʒənt] n. 代理人；代理商|I have been instructed by my agent that you still owe me 100 pounds.|我的代理人通知我，你还欠我100磅。
aggressive|[əˈɡresɪv] adj. 侵略的；进攻性的|He has an aggressive manner.|他的态度咄咄逼人。
agony|[ˈæɡəni] n. 极度的痛苦；挣扎|It was great agony to watch him passing away.|看着他死去是极大的痛苦。
agree|[əˈɡriː] v. 同意；赞成|We agreed to leave at once.|我们同意立即离开。
agreement|[əˈɡriːmənt] n. 同意；一致|We are in agreement with their decision.|我们同意他们的决定。
agriculture|[ˈæɡrɪkʌltʃə(r)] n. 农业；农学|I know nothing about agriculture.|我对农业一窍不通。
ahead|[əˈhed] adv. 领先；预先|By doing extra homework, he soon got ahead of his class-mates.|他靠多做家庭作业，很快在班上名列前茅。
aid|[eɪd] n. 援助；帮助 v. 辅助；援助|The regime has been propped up by foreign aid.|该政权是靠外国援助维持着的。
aim|[eɪm] n. 目标；对准 vt. 瞄准；针对 vi. 瞄准；旨在|What is your aim in life?|你的生活目标是什么？
air|[eə(r)] n. 空气；天空 v. 晾干；使通风|The fresh air in the morning made him feel glad.|早晨的新鲜空气使他觉得愉快。
aircraft|[ˈeəkrɑːft] n. 飞机|The wings of the aircraft had iced up.|机翼上结了一层冰。
airline|[ˈeəlaɪn] n. 航线；航空公司|Beijing to Guangzhou is a daily airline of CAAC.|北京到广州是中国民航每天的定期航线。
airplane|[ˈeəpleɪn] n. 飞机 =aeroplane(英）.|The boom of the airplane was damaged.|飞机的尾桁受到损害。
airport|[ˈeəpɔːt] n. 机场；航空站|The plane circled the airport before landing.|飞机在着陆之前在机场上空盘旋。
alarm|[əˈlɑːm] n. 警报；警报器 vt. 警告；使惊恐|The proceedings were interrupted by the fire alarm.|会议的进程被火灾警报打断了。
alcohol|[ˈælkəhɒl] n. 酒精；酒|Whisky contains a large percentage of alcohol.|威士忌所含酒精的百分比很高。
alike|[əˈlaɪk] adj. 相似的；同样的 adv. 一样；以同样的方式|We are much alike in character.|我们的性格很相似。
alive|[əˈlaɪv] adj. 活着的；有活力的|She clung to the hope that her son was still alive.|她始终抱着儿子还活着的希望。
allow|[əˈlaʊ] vt. 允许；让某人得到 vi. (for)考虑到；允许|You are not allowed to smoke here.|这里不许吸烟。
alloy|[ˈælɔɪ] n. 合金 vt. 使成合金；使降低，贬损 vi. 有合金能力|Brass is an alloy of copper and zinc.|黄铜是铜和锌的合金。
almost|[ˈɔːlməʊst] adv. 几乎；差不多 adj. 相近的|He slipped and almost fell.|他脚下一滑，险些跌倒。
alone|[əˈləʊn] adj. 单独的；独自一人的 adv. 独自地；仅仅|Tom is not alone in finding Rick hard to work with.|并不只是汤姆一人认为和里克难以共事。
along|[əˈlɒŋ] prep. 沿着；顺着 adv. 向前；一起|We walked along the road.|我们沿着路走。
aloud|[əˈlaʊd] adv. 出声地；大声地|She sobbed aloud, not caring to restrain her grief.|她大声地啜泣，不打算遏止悲哀。
alphabet|[ˈælfəbet] n. 字母表；基本原理(元素)|C comes after B in the alphabet.|在字母表中C接在B后面。
also|[ˈɔːlsəʊ] adv. 也；而且|We should also take account of difficulties.|我们也应该考虑到困难。
alter|[ˈɔːltə(r)] v. 改变；更改|But nothing can alter the facts.|但任何东西也改变不了这些事实。
alternative|[ɔːlˈtɜːnətɪv] adj. 两者择一的；供选择的 n. 二者择一；供替代的选择|We have the alternative plans of having a picnic or taking a boat trip.|我们在去野餐或者去乘船旅游两个计划中只能选一。
altitude|[ˈæltɪtjuːd] n. 高度；海拔|We are flying at an altitude of 20000 feet.|我们的飞行高度是20000英尺。
altogether|[ˌɔːltəˈɡeðə(r)] adv. 总共；完全|He bought altogether 500 hectares of land.|他总共买了五百公顷土地。
aluminium|[ˌæljəˈmɪniəm] n. 铝 =aluminum（美）|I hardly ever know that aluminium alloy could be as strong as steel.|我几乎从来不知道铝合金竟会和钢强度一样大。
amaze|[əˈmeɪz] vt. 使吃惊；使惊异 vi. 惊讶 n. 吃惊；好奇|He amazed me by his audacity.|他的无理让我惊骇。
ambition|[æmˈbɪʃn] n. 雄心；抱负 vt. 追求；有 ... 野心|You should persist in your ambition.|你应该坚持你的雄心大志。
ambulance|[ˈæmbjʊləns] n. 救护车|An ambulance dashed to the scene of the accident.|救护车风驰电掣赶往事故现场。
American|[əˈmerɪkən] n. 美国人；美洲人 adj. 美国的；美洲的|His accent proclaimed that he was an American.|他的口音表明他是一个美国人。
amongst|[əˈmʌŋst] prep. 在 ... 之中；在 ... 之间(=among)|Anticholesterol and blood pressure lowering medications were amongst the common drugs known to interfere with smell.|抗胆固醇药和降压药包括在所知的妨碍嗅觉普通药之中。
amount|[əˈmaʊnt] n. 数量；总额 vi. 总计；等于|A petrol gauge shows the amount of petrol left in a car.|汽油表指示出汽车里所剩的汽油数量。
ampere|[ˈæmpeə(r)] n. [电]安培|Isabel, with her eyes bent, fingered the pages of M?Ampere.|伊莎贝尔垂下了眼皮，用手指拨弄着安培的书。
amplify|[ˈæmplɪfaɪ] v. 扩大；详述|We must amplify our effort by working a lot harder.|我们必须更努力地工作来扩大成果。
amuse|[əˈmjuːz] v. 娱乐；消遣|I amuse myself by reading on weekends.|周末我读书消遣。
analysis|[əˈnæləsɪs] n. 分析；解析|His analysis of the problem showed great perception.|他对该问题的分析显示出敏锐的洞察力。
ancestor|[ˈænsestə(r)] n. 祖宗；祖先|During the festival the investor investigated his ancestor.|节日期间投资者调查了他的祖宗。
anchor|[ˈæŋkə(r)] n. 锚；锚状物 v. 抛锚；停泊|The ship dragged its anchor during the night.|夜里,船把锚拖动了。
ancient|[ˈeɪnʃənt] adj. 古老的；古代的 n. 古人|This is an ancient parable.|这是一个古老的寓言。
angel|[ˈeɪndʒl] n. 天使；天使般的人|A stunt man needs to have a good guardian angel.|当特技替身演员的得有个守护天使来保佑。
anger|[ˈæŋɡə(r)] n. 愤怒；怒火 vt. 激怒 vi. 发火|His charges were met with cries of anger.|他的指控遭到一阵愤怒的反对声。
angle|[ˈæŋɡl] n. 角度；角 v. 形成或转变角度；歪曲 v. 钓鱼；谋取 Angle. n. 盎格鲁人|The rising sun is especially beautiful to look at from this angle.|旭日从这个角度看起来特别美。
ankle|[ˈæŋkl] n. 踝；踝关节|The doctor has taped up my swollen ankle.|医生用绷带把我肿起的脚踝包扎起来。
announce|[əˈnaʊns] vt. 宣布；宣告 vi. 作播音员；宣布竞选|I hope to announce the winner shortly.|我希望马上宣布胜利者的名字。
announcer|[əˈnaʊnsə(r)] n. 广播员；告知者|The TV announcer never seems to blink.|这个电视广播员似乎从来都不眨眼。
annual|[ˈænjuəl] adj. 每年的；年度的 n. 年刊；一年生植物|The firm has an annual turnover of $75 million.|这家公司的年营业额为7500万美元。
another|[əˈnʌðə(r)] adj. 另一的；再一个的 pron. 另一个；类似的一个|It is just as well that you took another road.|还好你们走了另一条路。
answer|[ˈɑːnsə(r)] v. 回答；答复 n. 答案；回答|The question is simple enough to answer.|这个问题很简单,容易回答。
ant|[ænt] n. 蚂蚁|Afterwards I allowed an ant to visit them.|我于是让一只蚂蚁去接近它们。
anticipate|[ænˈtɪsɪpeɪt] vt. 预期；提前使用 vi. 预言|We anticipate that we will meet a certain amount of resistance to our plan.|我们预料我们的计划会遇到一些人的反对。
anxiety|[æŋˈzaɪəti] n. 焦虑；担心|It proved difficult to disguise his anxiety.|他的焦虑难以掩饰。
anxious|[ˈæŋkʃəs] adj. 渴望的；忧虑的|The whole country was anxious for peace.|全国上下都渴望和平。
anybody|[ˈenibɒdi] pron. 任何人|He didn't want to team up with anybody.|他不想与任何人合作。
anyone|[ˈeniwʌn] pron. 任何人|We dislike to have anyone patronize us.|我们不喜欢任何人对我们以恩人自居。
anything|[ˈeniθɪŋ] pron. 任何事；任何东西 adv. 在任何程度上|If you remember anything at all, please let us know.|你要是想起什么来，就告诉我们。
anywhere|[ˈeniweə(r)] adv. 任何地方 n. 任何(一个)地方|The city welcomes visitors from anywhere.|这座城市欢迎来自任何地方的来访客人。
apartment|[əˈpɑːtmənt] n. 一套公寓房间|I have an apartment in downtown Manhattan.|我在曼哈顿中心区有一套住房。
apologize|[əˈpɒlədʒaɪz] vi. 道歉；赔罪|He apologizes to her for not going to her party.|他因未出席她的派对向她表示歉意。
apology|[əˈpɒlədʒi] n. 道歉；辩解|I demand an apology.|我要求道歉。
apparatus|[ˌæpəˈreɪtəs] n. 器官；装置|The bird has specialized vocal apparatus.|这只鸟有特殊的发音器官。
apparent|[əˈpærənt] adj. 明显的；表面上的|It was apparent to all that he was guilty.|众所周知，他是有罪的。
appeal|[əˈpiːl] n. 恳求；呼吁 n. (体育比赛中)诉请裁决 v. 呼吁；有吸引力|Their appeal for help went unheeded.|他们求助的呼吁未受到注意。
appearance|[əˈpɪərəns] n. 出现；露面|The journal makes its appearance once two months.|这本刊物两个月出版一次。
appetite|[ˈæpɪtaɪt] n. 食欲；嗜好|She is suffering from lack of appetite.|她食欲不振。
apple|[ˈæpl] n. 苹果；珍宝|My uncle has an apple orchard.|我叔叔拥有一个苹果园。
appliance|[əˈplaɪəns] n. 器具；应用|These appliances are made of stainless iron.|这些器具是用不锈钢制成的。
applicable|[əˈplɪkəbl] adj. 合适的；适用的|Western notions of human rights are not necessarily applicable in other societies.|西方的人权观念不一定适合其他社会。
application|[ˌæplɪˈkeɪʃn] n. 应用；申请|The application of new scientific discoveries to industrial production methods usually increases efficiency.|把新的科学发现运用到工业生产上,通常可以提高效率。
apply|[əˈplaɪ] vt. 应用；涂 vi. 申请；有关联|We should not only know the theory but also how to apply it to practice.|我们不仅要知道理论，还要知道怎样把理论应用于实践。
appoint|[əˈpɔɪnt] v. 任命；委派|The company decided to appoint a new treasurer.|公司决定任命一位新司库。
appointment|[əˈpɔɪntmənt] n. 约会；任命|I've made an appointment for a facial next week.|我已经预约了下周去美容。
appreciate|[əˈpriːʃieɪt] vt. 欣赏；赏识 vi. 增值|I really appreciate his complete absorption in his work.|我很欣赏他对工作的极端专注。
approach|[əˈprəʊtʃ] v. 靠近；接近 n. 途径；方法|Such people as are friendly are easy to approach.|亲切之人容易接近。
appropriate|[əˈprəʊpriət ] adj. 适当的；相称的 vt. 占用；拨出(款项)|You will be informed of the details at the appropriate time.|在适当的时候将把详情告诉你。
approval|[əˈpruːvl] n. 同意；批准|The proposal was accepted with unanimous approval.|全体一致通过了那项建议。
approve|[əˈpruːv] v. 批准；赞成|The city council approved the building plan.|市议会批准了这项建筑计划。
approximate|[əˈprɒksɪmət] adj. 近似的；大约的 v. 接近；约等于|This is just an approximate figure.|这仅仅是个近似值。
approximately|[əˈprɒksɪmətli] adv. 大约；近似地|The plane will be taking off in approximately five minutes.|飞机大约五分钟后就起飞。
April|[ˈeɪprəl] n. 四月|April is the time to plant trees.|四月是种树的时候。
Arabian|[əˈreɪbiən] adj. 阿拉伯的；阿拉伯人的 n. 阿拉伯人；阿拉伯马|Arabian work influenced it much without doubt.|阿拉伯人的工作无疑对其产生过重要的影响。
arbitrary|[ˈɑːbɪtrəri] adj. 任意的；专制的|I'm not used to your arbitrary standards.|我不习惯你们那些随心所欲的标准。
architecture|[ˈɑːkɪtektʃə(r)] n. 建筑学；结构|He obtained a diploma in architecture.|他获得了建筑学的学位证书。
area|[ˈeəriə] n. 面积；地区，地段|The farm has an area of 100 square kilometers.|这个农场占地100平方公里。
argue|[ˈɑːɡjuː] v. 说服；争论|We argued her into joining us.|我们说服她参加了宴会。
arise|[əˈraɪz] vi. 出现；升起|An opportunity has arisen.|机会来了。
arithmetic|[əˈrɪθmətɪk] n. 算术；计算 adj. 算术的|I'm good at history but not so hot at arithmetic.|我的历史成绩不错，但算术不太好。
arm|[ɑːm] n. 臂；扶手 n. 武器；军种 vt. 武装；装备 （复）arms: 军事行动|You should wind a cloth round the wounded arm.|你应该把一块布缠在受伤的和臂上。
army|[ˈɑːmi] n. 军队；陆军|The battlefield is full of the army.|军队布满了战场。
around|[əˈraʊnd] prep. 到处；在 ... 附近 adv. 到处；在周围 adj. 存在的；在风行的|He runs around the playground.|他在运动场上到处跑。
arouse|[əˈraʊz] v. 叫醒；唤醒|It took her some time to arouse her husband.|她费了好一会儿才把丈夫叫醒。
arrange|[əˈreɪndʒ] vt. 整理；安排 vi. 协商；计划|You must arrange these books in alphabetical order.|你要把这些书按字母顺序排好。
arrangement|[əˈreɪndʒmənt] n. 布置；安排|He introduced to us the symmetrical arrangement of the garden.|他为我们介绍了花园中对称的布局。
arrest|[əˈrest] vt. 逮捕；拘留 n. 逮捕；拘留|The police arrested the thief.|警察逮捕了小偷。
arrive|[əˈraɪv] vi. 到达；到来|We shall arrive soon after.|我们将很快就到达。
arrow|[ˈærəʊ] n. 箭；箭头|The arrow just split the apple in half.|箭把苹果分成两半。
article|[ˈɑːtɪkl] n. 文章；物品 vt. 订契约|She asked him to contribute a biweekly article on European affairs.|她让他每两周写一篇有关欧洲情况的文章。
artificial|[ˌɑːtɪˈfɪʃl] adj. 人造的；虚伪的|This orange drink contains no artificial flavourings.|这种橙汁饮品不含人工调味料。
artist|[ˈɑːtɪst] n. 艺术家；美术家|She is a consummate artist.|她是个技艺高超的艺术家。
artistic|[ɑːˈtɪstɪk] adj. 艺术的|She has artistic tendencies.|她有艺术气质。
ash|[æʃ] n. 灰；灰烬 n. 白蜡树；白蜡木 (复)ashes：骨灰|Wood ash should be forked or dug into the soil.|木灰应被耙入或插进土壤里。
ashamed|[əˈʃeɪmd] adj. 感到惭愧的；感到害臊的|He is ashamed for his former dishonorable action.|他对他以前不光彩的行为感到羞愧。
Asia|[ˈeɪʒə] n. 亚洲；亚细亚|He kept a journal of his wanderings across Asia.|他记自己漫游亚洲的日记。
Asian|[ˈeɪʃn] adj. 亚洲的；亚洲人的 n. 亚洲人|How many Asian countries have taken part in the sport meeting?|有多少亚洲国家参加这次运动会？
aside|[əˈsaɪd] n. 旁白；顺便说的话 adv. 在一边；另外|This is surely an author's aside.|这当然是作者的旁白。
asleep|[əˈsliːp] adj. 睡着的；已死的 adv. 睡着；进入静止状态|The lion lay asleep in its den.|狮子躺在洞里睡觉。
aspect|[ˈæspekt] n. 方面；方位|This is only one aspect of the problem.|这只是问题的一个方面。
assemble|[əˈsembl] v. 集合；收集|The students assembled in the school garden.|学生们在校园集合。
assembly|[əˈsembli] n. 集会；集合|The assembly of students takes place in the auditorium.|学生们在大礼堂举行集会。
assess|[əˈses] v. 评定；评估|He can quickly assess a person's character.|他能很快地评定出某人的品质。
assign|[əˈsaɪn] vt. 分配；指定 n. 受让人|All the students are assigned to suitable jobs.|所有的学生都分到了合适的工作。
assignment|[əˈsaɪnmənt] n. 分配；任务|This is Robert Mundell's assignment rule.|这就是罗伯特·蒙代尔的分配原则。
assist|[əˈsɪst] vt. 帮助；协助 vi. 帮助；出席 n. 帮助；协助|A team of nurses assisted the doctor in performing the operation.|一组护士协助医生施行手术。
assistant|[əˈsɪstənt] n. 助手，助理，助教；【化】（用于染色的）助剂 adj. 副的；辅助的|The Prime Minister came to visit our country in the company of his assistant.|首相在其助手陪同下访问我国。
associate|[əˈsəʊʃieɪt] vt. 联想；联合 n. 伙伴；同事 adj. 副的；共事的 n. 准学士学位获得者 vi. 交往|We should associate ourselves with this large firm.|我们应该和这家大公司联合。
assume|[əˈsjuːm] vt. 假定；设想|Let's assume it to be true.|让我们假定这是真的。
assure|[əˈʃʊə(r)] vt. 使确信；使放心|Her success as an actress was now assured.|她当演员很成功，已毋庸置疑了。
astonish|[əˈstɒnɪʃ] vt. 使惊讶；使吃惊|I was astonished at the news of his escape.|听到他逃之夭夭的消息，我感到惊讶。
astronaut|[ˈæstrənɔːt] n. 宇航员|The astronaut can send out a robot which will work on the unknown planet, collecting rocks and minerals, putting up a permanent observation station or traveling far and wide.|宇航员可以派出机器人在这颗陌生的行星上工作，收集岩石和矿物; 建立永久性观察站，或向四面八方走动。
at|[ət] prep. 在；向 n. 基普(老挝货币基本单位)(=att)；[化]砹(极不稳定放射性元素) abbr. 密封的(=a…|I'm sorry to obtrude on you at such a time.|我很抱歉在这个时候打扰你。
athlete|[ˈæθliːt] n. 运动员|The athlete is suffering from muscular strain.|这名运动员正受肌肉劳损之苦。
Atlantic|[ætˈlæntɪk] adj. 大西洋的 n. 大西洋|It took them several days to cross the Atlantic Ocean.|他们花了好几天的时间穿越大西洋。
atmosphere|[ˈætməsfɪə(r)] n. 大气；空气|The burning of fossil fuels results in the pollution of the atmosphere.|矿物燃料的燃烧导致了大气污染。
atmospheric|[ˌætməsˈferɪk] adj. 大气的；大气层的|Atmospheric conditions often prevent observation of stars.|大气的情况常使人们无法观察星星。
atom|[ˈætəm] n. 原子；微粒|Scientists have unlocked the secret of the atom.|科学家已经揭开了原子的秘密。
atomic|[əˈtɒmɪk] adj. 原子的|The ship was sunk by an atomic submarine.|这艘船是被一艘核潜艇击沉的。
attach|[əˈtætʃ] v. 附上；系上|I attach a copy of my notes for your information.|我附上笔记一份供你参考。
attain|[əˈteɪn] v. 实现；获得|We can attain whatever goal we set in our mind.|我们设定了什么目标，就能实现什么目标。
attempt|[əˈtempt] v. 企图；尝试 n. 企图；试图|He attempted to smother up the scandal about his family.|他企图掩饰有关他家庭的丑闻。
attend|[əˈtend] v. 出席；参加|I shall be attending the meeting.|我会参加会议。
